name,smiles,parses_rdkit,canonical_smiles,inchikey,group,label_status,notes
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,True,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Nicotine,CN1CCC[C@H]1c1cccnc1,True,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,CNS+,illustrative_literature_reported_unverified,
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,True,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,True,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,BQJCRHHNABKAKU-KBQPJGBKSA-N,CNS+,illustrative_literature_reported_unverified,
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,True,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,True,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,True,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,True,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,True,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,True,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,True,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,CNS+,illustrative_literature_reported_unverified,
Sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,True,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,VGKDLMBJGBXTGI-SJCJKPOMSA-N,CNS+,illustrative_literature_reported_unverified,
