source,inchikey,canonical_smiles,y_true,y_prob_raw_ens,y_prob_calibrated,y_pred_locked_thr,y_prob_seed0,y_prob_seed1,y_prob_seed2,y_prob_seed3,y_prob_seed4,p_efflux,p_influx,p_pampa
BBBP_test,WIKYUJGCLQQFNW-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,0.9978996179350555,1.0,1,0.9968236037391311,0.9974310754086296,0.9988490732142892,0.9974526354144688,0.9989417018987594,,,
BBBP_test,GCFBRXLSHGKWDP-XCGNWRKASA-N,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,1,0.008927017884925,0.0,0,0.0081850709946831,0.011061154907881,0.008168705247845,0.0074642768118756,0.0097558814623406,,,
BBBP_test,JIVPVXMEBJLZRO-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0,0.3321473461551387,0.5,0,0.3942196584691151,0.432758947868045,0.221125931078101,0.3066293792369015,0.3060028141235312,,,
BBBP_test,VMXUWOKSQNHOCA-UKTHLTGXSA-N,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0,0.3318782936667909,0.5,0,0.321232293107152,0.3276192525221644,0.3451442177222584,0.3261548786451503,0.3392408263372292,,,
BBBP_test,MIQPIUSUKVNLNT-UHFFFAOYSA-N,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0,0.3135303247134643,0.5,0,0.3675614436851103,0.2951489868360301,0.3442807843598593,0.2208154188819243,0.3398449898043977,,,
BBBP_test,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,0.0772819123974637,0.2307692307692307,0,0.0980214826784519,0.0852906449523353,0.0403322634046444,0.0892688536569301,0.0734963172949566,,,
BBBP_test,LQOLIRLGBULYKD-JKIFEVAISA-N,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,1,0.0187271276042213,0.184669234457011,0,0.0194995971441788,0.0179734384989075,0.0157590027616786,0.0171253296684103,0.023278269947931,,,
BBBP_test,XLYBIDWGRCVKEW-UHFFFAOYSA-N,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1,0,0.696951943982096,0.8947368421052632,1,0.6626522067450351,0.682433724260488,0.7546773725941753,0.6033648147914846,0.7816316015192971,,,
BBBP_test,UREBDLICKHMUKA-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,0.9607436938597612,0.984126984126984,1,0.9460859430414482,0.949457062021513,0.9799031878335412,0.949911165874555,0.9783611105277494,,,
BBBP_test,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,0,0.7464391200390212,0.8947368421052632,1,0.6973300595243901,0.7652823453422187,0.6931578887418159,0.8097195312816451,0.7667057753050365,,,
